index,time
0,2020-07-25 11:00:04.264
1,2020-07-25 11:00:04.392
2,2020-07-25 11:00:08.110
3,2020-07-25 11:00:09.308
4,2020-07-25 11:00:11.114
5,2020-07-25 11:00:27.132
6,2020-07-25 11:00:31.073
7,2020-07-25 11:00:40.129
8,2020-07-25 11:00:41.082
9,2020-07-25 11:00:44.018
10,2020-07-25 11:00:48.028
11,2020-07-25 11:00:49.114
12,2020-07-25 11:00:53.021
13,2020-07-25 11:00:56.378
14,2020-07-25 11:00:57.041
15,2020-07-25 11:01:01.185
16,2020-07-25 11:01:02.078
17,2020-07-25 11:01:03.040
18,2020-07-25 11:01:06.063
19,2020-07-25 11:01:09.040
20,2020-07-25 11:01:11.058
21,2020-07-25 11:01:12.012
22,2020-07-25 11:01:16.139
23,2020-07-25 11:01:21.062
24,2020-07-25 11:01:24.235
25,2020-07-25 11:01:27.143
26,2020-07-25 11:01:34.044
27,2020-07-25 11:01:36.006
28,2020-07-25 11:01:39.018
29,2020-07-25 11:01:49.044
30,2020-07-25 11:01:52.070
31,2020-07-25 11:02:01.150
32,2020-07-25 11:02:02.025
33,2020-07-25 11:02:03.157
34,2020-07-25 11:02:05.072
35,2020-07-25 11:02:08.092
36,2020-07-25 11:02:11.002
37,2020-07-25 11:02:16.052
38,2020-07-25 11:02:20.055
39,2020-07-25 11:02:22.427
40,2020-07-25 11:02:28.464
41,2020-07-25 11:02:29.243
42,2020-07-25 11:02:32.002
43,2020-07-25 11:02:35.174
44,2020-07-25 11:02:37.004
45,2020-07-25 11:02:38.118
46,2020-07-25 11:02:44.179
47,2020-07-25 11:02:47.160
48,2020-07-25 11:02:48.174
49,2020-07-25 11:02:50.037
50,2020-07-25 11:02:57.384
51,2020-07-25 11:02:58.043
52,2020-07-25 11:02:59.104
53,2020-07-25 11:03:01.074
54,2020-07-25 11:03:02.096
55,2020-07-25 11:03:06.011
56,2020-07-25 11:03:07.273
57,2020-07-25 11:03:09.155
58,2020-07-25 11:03:13.004
59,2020-07-25 11:03:15.054
60,2020-07-25 11:03:16.230
61,2020-07-25 11:03:17.356
62,2020-07-25 11:03:19.202
63,2020-07-25 11:03:20.004
64,2020-07-25 11:03:25.070
65,2020-07-25 11:03:26.136
66,2020-07-25 11:03:30.299
67,2020-07-25 11:03:34.054
68,2020-07-25 11:03:35.112
69,2020-07-25 11:03:40.066
70,2020-07-25 11:03:43.027
71,2020-07-25 11:03:44.487
72,2020-07-25 11:03:45.040
73,2020-07-25 11:03:46.158
74,2020-07-25 11:03:53.264
75,2020-07-25 11:03:54.013
76,2020-07-25 11:03:55.008
77,2020-07-25 11:04:01.168
78,2020-07-25 11:04:03.144
79,2020-07-25 11:04:04.110
80,2020-07-25 11:04:14.146
81,2020-07-25 11:04:16.155
82,2020-07-25 11:04:17.011
83,2020-07-25 11:04:19.349
84,2020-07-25 11:04:21.255
85,2020-07-25 11:04:28.290
86,2020-07-25 11:04:33.036
87,2020-07-25 11:04:35.067
88,2020-07-25 11:04:37.053
89,2020-07-25 11:04:40.398
90,2020-07-25 11:04:42.271
91,2020-07-25 11:04:45.329
92,2020-07-25 11:04:46.234
93,2020-07-25 11:04:49.007
94,2020-07-25 11:04:50.261
95,2020-07-25 11:04:58.146
96,2020-07-25 11:05:00.069
97,2020-07-25 11:05:03.192
98,2020-07-25 11:05:04.126
99,2020-07-25 11:05:05.028
100,2020-07-25 11:05:06.172
101,2020-07-25 11:05:07.343
102,2020-07-25 11:05:12.086
103,2020-07-25 11:05:13.160
104,2020-07-25 11:05:15.271
105,2020-07-25 11:05:21.148
106,2020-07-25 11:05:25.185
107,2020-07-25 11:05:26.006
108,2020-07-25 11:05:27.087
109,2020-07-25 11:05:34.190
110,2020-07-25 11:05:46.086
