index,time
0,2020-07-26 11:00:07.135
1,2020-07-26 11:00:08.024
2,2020-07-26 11:00:10.190
3,2020-07-26 11:00:14.192
4,2020-07-26 11:00:18.167
5,2020-07-26 11:00:19.192
6,2020-07-26 11:00:20.235
7,2020-07-26 11:00:30.046
8,2020-07-26 11:00:31.005
9,2020-07-26 11:00:32.054
10,2020-07-26 11:00:34.237
11,2020-07-26 11:00:35.169
12,2020-07-26 11:00:36.085
13,2020-07-26 11:00:39.016
14,2020-07-26 11:00:41.154
15,2020-07-26 11:00:45.331
16,2020-07-26 11:00:46.046
17,2020-07-26 11:00:48.013
18,2020-07-26 11:00:49.036
19,2020-07-26 11:00:50.069
20,2020-07-26 11:00:51.002
21,2020-07-26 11:00:56.028
22,2020-07-26 11:00:57.155
23,2020-07-26 11:00:58.108
24,2020-07-26 11:00:59.077
25,2020-07-26 11:01:00.231
26,2020-07-26 11:01:01.162
27,2020-07-26 11:01:02.002
28,2020-07-26 11:01:03.060
29,2020-07-26 11:01:05.372
30,2020-07-26 11:01:06.570
31,2020-07-26 11:01:09.155
32,2020-07-26 11:01:10.387
33,2020-07-26 11:01:11.342
34,2020-07-26 11:01:13.165
35,2020-07-26 11:01:14.181
36,2020-07-26 11:01:15.103
37,2020-07-26 11:01:17.056
38,2020-07-26 11:01:26.226
39,2020-07-26 11:01:30.135
40,2020-07-26 11:01:31.309
41,2020-07-26 11:01:33.025
42,2020-07-26 11:01:34.192
43,2020-07-26 11:01:35.085
44,2020-07-26 11:01:36.051
45,2020-07-26 11:01:38.044
46,2020-07-26 11:01:40.001
47,2020-07-26 11:01:49.438
48,2020-07-26 11:01:55.008
49,2020-07-26 11:01:56.238
50,2020-07-26 11:01:58.081
51,2020-07-26 11:02:00.632
52,2020-07-26 11:02:01.222
53,2020-07-26 11:02:05.171
54,2020-07-26 11:02:09.507
55,2020-07-26 11:02:15.047
56,2020-07-26 11:02:17.348
57,2020-07-26 11:02:18.013
58,2020-07-26 11:02:26.344
59,2020-07-26 11:02:28.043
60,2020-07-26 11:02:29.216
61,2020-07-26 11:02:33.329
62,2020-07-26 11:02:35.103
63,2020-07-26 11:02:42.035
64,2020-07-26 11:02:43.013
65,2020-07-26 11:02:51.217
66,2020-07-26 11:03:05.351
67,2020-07-26 11:03:09.024
68,2020-07-26 11:03:12.456
69,2020-07-26 11:03:13.122
70,2020-07-26 11:03:15.008
71,2020-07-26 11:03:18.157
72,2020-07-26 11:03:20.006
73,2020-07-26 11:03:23.323
74,2020-07-26 11:03:25.046
75,2020-07-26 11:03:28.161
76,2020-07-26 11:03:30.132
77,2020-07-26 11:03:34.067
78,2020-07-26 11:03:35.203
79,2020-07-26 11:03:43.059
80,2020-07-26 11:03:49.037
81,2020-07-26 11:03:50.346
82,2020-07-26 11:03:51.060
83,2020-07-26 11:03:52.342
84,2020-07-26 11:03:53.121
85,2020-07-26 11:03:55.196
86,2020-07-26 11:03:56.571
87,2020-07-26 11:03:58.042
88,2020-07-26 11:04:02.194
89,2020-07-26 11:04:06.062
90,2020-07-26 11:04:08.189
91,2020-07-26 11:04:09.303
92,2020-07-26 11:04:10.156
93,2020-07-26 11:04:17.200
94,2020-07-26 11:04:20.265
95,2020-07-26 11:04:21.207
96,2020-07-26 11:04:26.243
97,2020-07-26 11:04:28.115
98,2020-07-26 11:04:30.316
99,2020-07-26 11:04:32.244
100,2020-07-26 11:04:33.137
101,2020-07-26 11:04:34.820
102,2020-07-26 11:04:36.780
103,2020-07-26 11:04:43.029
104,2020-07-26 11:04:50.140
105,2020-07-26 11:04:51.070
106,2020-07-26 11:04:53.187
107,2020-07-26 11:04:54.030
108,2020-07-26 11:04:58.069
109,2020-07-26 11:05:03.197
110,2020-07-26 11:05:08.105
111,2020-07-26 11:05:09.598
112,2020-07-26 11:05:10.028
113,2020-07-26 11:05:13.144
114,2020-07-26 11:05:14.056
115,2020-07-26 11:05:17.131
116,2020-07-26 11:05:18.048
117,2020-07-26 11:05:19.167
118,2020-07-26 11:05:20.160
119,2020-07-26 11:05:28.073
120,2020-07-26 11:05:32.065
121,2020-07-26 11:05:37.100
122,2020-07-26 11:05:38.037
123,2020-07-26 11:05:39.131
124,2020-07-26 11:05:44.027
125,2020-07-26 11:05:52.087
126,2020-07-26 11:05:53.234
127,2020-07-26 11:05:56.019
128,2020-07-26 11:06:01.519
129,2020-07-26 11:06:03.040
130,2020-07-26 11:06:09.030
131,2020-07-26 11:06:12.031
132,2020-07-26 11:06:17.023
133,2020-07-26 11:06:24.252
134,2020-07-26 11:06:28.664
135,2020-07-26 11:06:29.288
136,2020-07-26 11:06:33.266
137,2020-07-26 11:06:35.318
138,2020-07-26 11:06:39.357
139,2020-07-26 11:06:42.023
140,2020-07-26 11:06:47.614
141,2020-07-26 11:06:51.141
142,2020-07-26 11:06:52.031
143,2020-07-26 11:06:54.118
144,2020-07-26 11:06:56.009
145,2020-07-26 11:06:57.053
146,2020-07-26 11:06:58.419
147,2020-07-26 11:06:59.281
148,2020-07-26 11:07:00.294
149,2020-07-26 11:07:08.919
150,2020-07-26 11:07:09.651
151,2020-07-26 11:07:12.207
152,2020-07-26 11:07:14.865
153,2020-07-26 11:07:16.484
154,2020-07-26 11:07:19.499
155,2020-07-26 11:07:24.155
156,2020-07-26 11:07:25.108
157,2020-07-26 11:07:27.226
158,2020-07-26 11:07:27.306
159,2020-07-26 11:07:36.756
160,2020-07-26 11:07:37.738
161,2020-07-26 11:07:38.637
162,2020-07-26 11:07:41.961
163,2020-07-26 11:07:42.597
164,2020-07-26 11:07:44.314
165,2020-07-26 11:07:45.259
166,2020-07-26 11:07:46.835
167,2020-07-26 11:07:55.108
168,2020-07-26 11:07:59.664
169,2020-07-26 11:08:03.103
170,2020-07-26 11:08:04.393
171,2020-07-26 11:08:05.311
172,2020-07-26 11:08:08.212
173,2020-07-26 11:08:13.025
174,2020-07-26 11:08:14.044
175,2020-07-26 11:08:19.128
176,2020-07-26 11:08:21.846
177,2020-07-26 11:08:23.228
178,2020-07-26 11:08:26.258
179,2020-07-26 11:08:30.048
180,2020-07-26 11:08:36.312
181,2020-07-26 11:08:39.297
182,2020-07-26 11:08:41.001
183,2020-07-26 11:08:42.112
184,2020-07-26 11:08:43.207
185,2020-07-26 11:08:46.798
186,2020-07-26 11:08:52.172
187,2020-07-26 11:09:03.361
188,2020-07-26 11:09:04.091
189,2020-07-26 11:09:05.042
190,2020-07-26 11:09:11.046
191,2020-07-26 11:09:19.162
192,2020-07-26 11:09:21.015
193,2020-07-26 11:09:23.264
194,2020-07-26 11:09:25.252
195,2020-07-26 11:09:26.554
196,2020-07-26 11:09:31.072
197,2020-07-26 11:09:37.025
198,2020-07-26 11:09:40.471
199,2020-07-26 11:09:46.094
200,2020-07-26 11:09:50.323
201,2020-07-26 11:09:54.316
202,2020-07-26 11:10:01.081
203,2020-07-26 11:10:08.335
204,2020-07-26 11:10:10.043
205,2020-07-26 11:10:14.201
206,2020-07-26 11:10:16.119
207,2020-07-26 11:10:21.059
208,2020-07-26 11:10:27.039
209,2020-07-26 11:10:28.386
210,2020-07-26 11:10:32.066
211,2020-07-26 11:10:37.098
212,2020-07-26 11:10:42.138
213,2020-07-26 11:10:46.088
214,2020-07-26 11:10:48.296
215,2020-07-26 11:10:49.157
216,2020-07-26 11:10:52.019
217,2020-07-26 11:11:00.383
218,2020-07-26 11:11:03.052
219,2020-07-26 11:11:08.259
220,2020-07-26 11:11:10.190
221,2020-07-26 11:11:13.017
222,2020-07-26 11:11:17.052
223,2020-07-26 11:11:18.100
224,2020-07-26 11:11:20.102
225,2020-07-26 11:11:29.425
226,2020-07-26 11:11:31.199
227,2020-07-26 11:11:36.034
228,2020-07-26 11:11:38.122
229,2020-07-26 11:11:40.516
230,2020-07-26 11:11:45.258
231,2020-07-26 11:11:53.117
232,2020-07-26 11:11:54.330
233,2020-07-26 11:11:56.263
234,2020-07-26 11:11:57.058
235,2020-07-26 11:11:59.280
236,2020-07-26 11:12:04.451
237,2020-07-26 11:12:06.127
238,2020-07-26 11:12:07.122
239,2020-07-26 11:12:14.012
240,2020-07-26 11:12:15.036
241,2020-07-26 11:12:25.148
242,2020-07-26 11:12:31.085
243,2020-07-26 11:12:32.283
244,2020-07-26 11:12:35.138
245,2020-07-26 11:12:39.163
246,2020-07-26 11:12:43.155
247,2020-07-26 11:12:46.246
248,2020-07-26 11:12:48.086
249,2020-07-26 11:12:49.789
250,2020-07-26 11:12:52.091
251,2020-07-26 11:12:55.245
252,2020-07-26 11:12:58.003
253,2020-07-26 11:13:01.023
254,2020-07-26 11:13:02.160
255,2020-07-26 11:13:03.715
256,2020-07-26 11:13:10.169
257,2020-07-26 11:13:11.355
258,2020-07-26 11:13:23.223
259,2020-07-26 11:13:25.026
260,2020-07-26 11:13:28.232
261,2020-07-26 11:13:29.231
262,2020-07-26 11:13:30.034
263,2020-07-26 11:13:32.131
264,2020-07-26 11:13:36.027
265,2020-07-26 11:13:37.136
266,2020-07-26 11:13:38.413
267,2020-07-26 11:13:52.317
268,2020-07-26 11:13:55.193
269,2020-07-26 11:13:57.010
270,2020-07-26 11:13:59.242
271,2020-07-26 11:14:00.107
272,2020-07-26 11:14:04.071
273,2020-07-26 11:14:05.209
274,2020-07-26 11:14:09.147
275,2020-07-26 11:14:10.257
