index,time
0,2020-07-23 11:00:03.791
1,2020-07-23 11:00:04.359
2,2020-07-23 11:00:04.574
3,2020-07-23 11:00:05.316
4,2020-07-23 11:00:07.016
5,2020-07-23 11:00:08.099
6,2020-07-23 11:00:09.090
7,2020-07-23 11:00:12.083
8,2020-07-23 11:00:13.375
9,2020-07-23 11:00:17.037
10,2020-07-23 11:00:18.021
11,2020-07-23 11:00:19.273
12,2020-07-23 11:00:23.182
13,2020-07-23 11:00:24.155
14,2020-07-23 11:00:31.027
15,2020-07-23 11:00:32.083
16,2020-07-23 11:00:34.147
17,2020-07-23 11:00:35.369
18,2020-07-23 11:00:37.063
19,2020-07-23 11:00:38.026
20,2020-07-23 11:00:39.093
21,2020-07-23 11:00:47.278
22,2020-07-23 11:00:56.218
23,2020-07-23 11:00:59.079
24,2020-07-23 11:01:02.099
25,2020-07-23 11:01:03.059
26,2020-07-23 11:01:04.027
27,2020-07-23 11:01:05.141
28,2020-07-23 11:01:06.054
29,2020-07-23 11:01:09.165
30,2020-07-23 11:01:10.253
31,2020-07-23 11:01:17.062
32,2020-07-23 11:01:18.062
33,2020-07-23 11:01:23.116
34,2020-07-23 11:01:26.144
35,2020-07-23 11:01:28.290
36,2020-07-23 11:01:38.286
37,2020-07-23 11:01:39.180
38,2020-07-23 11:01:41.034
39,2020-07-23 11:01:43.127
40,2020-07-23 11:01:44.208
41,2020-07-23 11:01:45.371
42,2020-07-23 11:01:49.020
43,2020-07-23 11:01:53.245
44,2020-07-23 11:01:55.266
45,2020-07-23 11:02:04.172
46,2020-07-23 11:02:09.122
47,2020-07-23 11:02:11.209
48,2020-07-23 11:02:16.017
49,2020-07-23 11:02:20.055
50,2020-07-23 11:02:25.169
51,2020-07-23 11:02:28.004
52,2020-07-23 11:02:29.298
53,2020-07-23 11:02:30.049
54,2020-07-23 11:02:31.311
55,2020-07-23 11:02:32.118
56,2020-07-23 11:02:33.247
57,2020-07-23 11:02:36.416
58,2020-07-23 11:02:37.257
59,2020-07-23 11:02:39.173
60,2020-07-23 11:02:41.151
61,2020-07-23 11:02:42.065
62,2020-07-23 11:02:43.261
63,2020-07-23 11:02:44.027
64,2020-07-23 11:02:45.104
65,2020-07-23 11:02:49.050
66,2020-07-23 11:02:51.056
67,2020-07-23 11:02:53.003
68,2020-07-23 11:02:55.257
69,2020-07-23 11:02:57.105
70,2020-07-23 11:02:59.532
71,2020-07-23 11:03:02.087
72,2020-07-23 11:03:03.179
73,2020-07-23 11:03:07.245
74,2020-07-23 11:03:16.140
75,2020-07-23 11:03:17.011
76,2020-07-23 11:03:22.196
77,2020-07-23 11:03:27.190
78,2020-07-23 11:03:32.214
79,2020-07-23 11:03:37.016
80,2020-07-23 11:03:39.712
81,2020-07-23 11:03:42.045
82,2020-07-23 11:03:50.151
83,2020-07-23 11:03:55.030
84,2020-07-23 11:03:58.057
85,2020-07-23 11:04:00.070
