index,time
0,2020-07-21 11:00:13.307
1,2020-07-21 11:00:14.238
2,2020-07-21 11:00:14.323
3,2020-07-21 11:00:15.184
4,2020-07-21 11:00:15.602
5,2020-07-21 11:00:17.720
6,2020-07-21 11:00:19.413
7,2020-07-21 11:00:23.259
8,2020-07-21 11:00:24.287
9,2020-07-21 11:00:28.021
10,2020-07-21 11:00:30.021
11,2020-07-21 11:00:31.003
12,2020-07-21 11:00:33.001
13,2020-07-21 11:00:38.044
14,2020-07-21 11:00:39.029
15,2020-07-21 11:00:44.131
16,2020-07-21 11:00:46.325
17,2020-07-21 11:00:47.121
18,2020-07-21 11:00:48.335
19,2020-07-21 11:00:50.238
20,2020-07-21 11:00:52.078
21,2020-07-21 11:00:55.117
22,2020-07-21 11:00:58.053
23,2020-07-21 11:01:03.025
24,2020-07-21 11:01:09.187
25,2020-07-21 11:01:16.003
26,2020-07-21 11:01:18.232
27,2020-07-21 11:01:20.014
28,2020-07-21 11:01:24.023
29,2020-07-21 11:01:25.039
30,2020-07-21 11:01:28.063
31,2020-07-21 11:01:32.165
32,2020-07-21 11:01:35.355
33,2020-07-21 11:01:36.329
34,2020-07-21 11:01:49.272
35,2020-07-21 11:01:54.141
36,2020-07-21 11:01:57.052
37,2020-07-21 11:01:58.290
38,2020-07-21 11:02:00.054
39,2020-07-21 11:02:04.226
40,2020-07-21 11:02:09.289
41,2020-07-21 11:02:11.294
42,2020-07-21 11:02:13.072
43,2020-07-21 11:02:15.130
44,2020-07-21 11:02:16.158
45,2020-07-21 11:02:19.255
46,2020-07-21 11:02:30.409
47,2020-07-21 11:02:32.099
48,2020-07-21 11:02:36.294
49,2020-07-21 11:02:39.008
50,2020-07-21 11:02:40.185
51,2020-07-21 11:02:50.132
52,2020-07-21 11:02:51.049
53,2020-07-21 11:02:57.030
54,2020-07-21 11:03:03.011
55,2020-07-21 11:03:07.078
56,2020-07-21 11:03:08.041
57,2020-07-21 11:03:09.026
58,2020-07-21 11:03:10.003
59,2020-07-21 11:03:12.010
60,2020-07-21 11:03:16.584
61,2020-07-21 11:03:20.019
62,2020-07-21 11:03:21.116
63,2020-07-21 11:03:22.044
64,2020-07-21 11:03:25.017
65,2020-07-21 11:03:32.059
66,2020-07-21 11:03:33.026
67,2020-07-21 11:03:34.016
68,2020-07-21 11:03:35.015
69,2020-07-21 11:03:36.052
70,2020-07-21 11:03:37.637
71,2020-07-21 11:03:43.056
72,2020-07-21 11:03:44.029
73,2020-07-21 11:03:51.025
74,2020-07-21 11:03:53.114
75,2020-07-21 11:03:55.447
76,2020-07-21 11:04:00.062
77,2020-07-21 11:04:12.035
78,2020-07-21 11:04:16.046
79,2020-07-21 11:04:17.016
80,2020-07-21 11:04:18.078
81,2020-07-21 11:04:19.125
82,2020-07-21 11:04:21.016
83,2020-07-21 11:04:23.030
84,2020-07-21 11:04:25.214
85,2020-07-21 11:04:26.045
86,2020-07-21 11:04:27.128
87,2020-07-21 11:04:30.303
88,2020-07-21 11:04:32.417
89,2020-07-21 11:04:33.015
90,2020-07-21 11:04:35.149
91,2020-07-21 11:04:37.019
92,2020-07-21 11:04:38.014
93,2020-07-21 11:04:39.102
94,2020-07-21 11:04:44.086
95,2020-07-21 11:04:45.087
96,2020-07-21 11:04:46.098
97,2020-07-21 11:04:48.191
98,2020-07-21 11:04:49.343
99,2020-07-21 11:04:51.344
100,2020-07-21 11:05:00.026
101,2020-07-21 11:05:01.027
102,2020-07-21 11:05:02.009
103,2020-07-21 11:05:07.013
104,2020-07-21 11:05:09.158
105,2020-07-21 11:05:10.171
106,2020-07-21 11:05:14.400
107,2020-07-21 11:05:20.683
108,2020-07-21 11:05:31.087
109,2020-07-21 11:05:34.158
110,2020-07-21 11:05:37.045
111,2020-07-21 11:05:40.120
112,2020-07-21 11:05:43.117
113,2020-07-21 11:05:49.041
114,2020-07-21 11:05:50.173
115,2020-07-21 11:05:53.079
116,2020-07-21 11:05:54.021
117,2020-07-21 11:05:55.265
118,2020-07-21 11:06:00.338
119,2020-07-21 11:06:05.057
120,2020-07-21 11:06:09.006
121,2020-07-21 11:06:10.074
122,2020-07-21 11:06:12.174
123,2020-07-21 11:06:16.434
124,2020-07-21 11:06:17.094
125,2020-07-21 11:06:20.212
126,2020-07-21 11:06:25.112
127,2020-07-21 11:06:28.069
128,2020-07-21 11:06:29.077
129,2020-07-21 11:06:33.037
130,2020-07-21 11:06:35.267
131,2020-07-21 11:06:39.023
132,2020-07-21 11:06:41.213
133,2020-07-21 11:06:43.017
134,2020-07-21 11:06:45.145
135,2020-07-21 11:06:50.088
136,2020-07-21 11:06:51.143
137,2020-07-21 11:06:53.221
138,2020-07-21 11:06:55.018
139,2020-07-21 11:06:57.016
140,2020-07-21 11:06:59.023
141,2020-07-21 11:07:00.180
142,2020-07-21 11:07:01.218
143,2020-07-21 11:07:09.064
144,2020-07-21 11:07:12.004
145,2020-07-21 11:07:15.503
146,2020-07-21 11:07:17.015
147,2020-07-21 11:07:18.160
