index,time
0,2020-07-27 16:00:08.046
1,2020-07-27 16:00:16.217
2,2020-07-27 16:00:20.510
3,2020-07-27 16:00:23.055
4,2020-07-27 16:00:27.115
5,2020-07-27 16:00:32.137
6,2020-07-27 16:00:51.155
7,2020-07-27 16:00:55.176
8,2020-07-27 16:00:59.268
9,2020-07-27 16:01:02.008
10,2020-07-27 16:01:05.089
11,2020-07-27 16:01:09.284
12,2020-07-27 16:01:13.127
13,2020-07-27 16:01:28.197
14,2020-07-27 16:01:29.418
15,2020-07-27 16:01:32.005
16,2020-07-27 16:01:34.016
17,2020-07-27 16:01:46.210
18,2020-07-27 16:01:55.068
19,2020-07-27 16:01:56.208
20,2020-07-27 16:01:58.042
21,2020-07-27 16:02:06.028
22,2020-07-27 16:02:10.046
23,2020-07-27 16:02:11.071
24,2020-07-27 16:02:35.032
25,2020-07-27 16:02:36.236
26,2020-07-27 16:02:37.115
27,2020-07-27 16:02:45.022
28,2020-07-27 16:02:47.036
29,2020-07-27 16:02:49.390
30,2020-07-27 16:02:55.453
31,2020-07-27 16:02:56.061
32,2020-07-27 16:03:04.118
33,2020-07-27 16:03:06.090
34,2020-07-27 16:03:13.152
35,2020-07-27 16:03:16.429
36,2020-07-27 16:03:21.437
37,2020-07-27 16:03:24.084
38,2020-07-27 16:03:34.469
39,2020-07-27 16:03:42.050
40,2020-07-27 16:03:43.301
41,2020-07-27 16:03:46.133
42,2020-07-27 16:03:55.005
43,2020-07-27 16:04:05.112
44,2020-07-27 16:04:06.022
45,2020-07-27 16:04:10.486
46,2020-07-27 16:04:36.212
47,2020-07-27 16:04:51.276
48,2020-07-27 16:04:59.611
49,2020-07-27 16:05:04.015
50,2020-07-27 16:05:11.061
51,2020-07-27 16:05:24.183
52,2020-07-27 16:05:33.910
53,2020-07-27 16:05:44.587
54,2020-07-27 16:05:48.422
55,2020-07-27 16:05:53.637
56,2020-07-27 16:05:57.535
57,2020-07-27 16:06:04.175
58,2020-07-27 16:06:16.619
59,2020-07-27 16:06:17.219
60,2020-07-27 16:06:20.031
61,2020-07-27 16:06:24.751
62,2020-07-27 16:06:31.008
63,2020-07-27 16:06:32.153
64,2020-07-27 16:06:33.789
65,2020-07-27 16:06:35.105
66,2020-07-27 16:06:39.143
67,2020-07-27 16:06:41.219
68,2020-07-27 16:06:48.272
69,2020-07-27 16:06:51.018
70,2020-07-27 16:06:55.246
71,2020-07-27 16:07:04.416
72,2020-07-27 16:07:07.371
73,2020-07-27 16:07:13.026
74,2020-07-27 16:07:14.591
75,2020-07-27 16:07:15.477
76,2020-07-27 16:07:19.173
77,2020-07-27 16:07:23.798
78,2020-07-27 16:07:29.411
79,2020-07-27 16:07:32.165
80,2020-07-27 16:07:46.090
81,2020-07-27 16:07:48.559
82,2020-07-27 16:07:49.005
83,2020-07-27 16:07:54.599
84,2020-07-27 16:07:58.158
85,2020-07-27 16:08:02.240
86,2020-07-27 16:08:05.562
87,2020-07-27 16:08:09.554
88,2020-07-27 16:08:13.173
89,2020-07-27 16:08:17.811
90,2020-07-27 16:08:22.024
91,2020-07-27 16:08:23.021
92,2020-07-27 16:08:26.610
93,2020-07-27 16:08:33.738
94,2020-07-27 16:08:40.337
95,2020-07-27 16:08:43.287
96,2020-07-27 16:08:44.278
97,2020-07-27 16:08:47.246
98,2020-07-27 16:08:51.012
99,2020-07-27 16:08:51.020
100,2020-07-27 16:08:52.109
101,2020-07-27 16:09:03.298
102,2020-07-27 16:09:05.347
103,2020-07-27 16:09:12.613
104,2020-07-27 16:09:16.554
105,2020-07-27 16:09:17.270
106,2020-07-27 16:09:18.032
107,2020-07-27 16:09:20.051
108,2020-07-27 16:09:23.366
109,2020-07-27 16:09:38.578
110,2020-07-27 16:09:40.211
111,2020-07-27 16:09:46.655
112,2020-07-27 16:10:02.774
113,2020-07-27 16:10:03.037
114,2020-07-27 16:10:05.050
115,2020-07-27 16:10:27.016
116,2020-07-27 16:10:29.428
117,2020-07-27 16:10:29.832
118,2020-07-27 16:10:37.948
119,2020-07-27 16:10:39.650
120,2020-07-27 16:10:40.194
121,2020-07-27 16:10:42.131
122,2020-07-27 16:11:14.359
123,2020-07-27 16:11:16.079
124,2020-07-27 16:11:22.490
125,2020-07-27 16:11:27.311
126,2020-07-27 16:11:29.828
127,2020-07-27 16:11:32.952
128,2020-07-27 16:11:34.236
129,2020-07-27 16:11:38.596
130,2020-07-27 16:11:41.003
131,2020-07-27 16:11:42.795
132,2020-07-27 16:11:45.506
133,2020-07-27 16:11:47.305
134,2020-07-27 16:11:48.134
135,2020-07-27 16:12:02.614
136,2020-07-27 16:12:03.275
137,2020-07-27 16:12:09.015
138,2020-07-27 16:12:10.211
139,2020-07-27 16:12:17.542
140,2020-07-27 16:12:27.807
141,2020-07-27 16:12:33.274
142,2020-07-27 16:12:38.393
143,2020-07-27 16:12:42.656
144,2020-07-27 16:12:47.110
145,2020-07-27 16:12:56.001
146,2020-07-27 16:12:58.163
147,2020-07-27 16:13:10.639
148,2020-07-27 16:13:11.306
149,2020-07-27 16:13:15.640
150,2020-07-27 16:13:17.003
151,2020-07-27 16:13:19.406
152,2020-07-27 16:13:21.442
153,2020-07-27 16:13:23.077
154,2020-07-27 16:13:24.785
155,2020-07-27 16:13:26.062
156,2020-07-27 16:13:27.220
157,2020-07-27 16:13:41.224
158,2020-07-27 16:13:44.416
159,2020-07-27 16:13:46.574
160,2020-07-27 16:13:49.061
161,2020-07-27 16:13:50.651
162,2020-07-27 16:13:56.231
163,2020-07-27 16:14:03.106
164,2020-07-27 16:14:04.649
165,2020-07-27 16:14:18.180
166,2020-07-27 16:14:20.085
167,2020-07-27 16:14:26.384
168,2020-07-27 16:14:37.421
169,2020-07-27 16:14:40.488
170,2020-07-27 16:14:47.457
171,2020-07-27 16:14:49.066
172,2020-07-27 16:14:52.439
173,2020-07-27 16:15:00.312
174,2020-07-27 16:15:03.126
175,2020-07-27 16:15:11.649
176,2020-07-27 16:15:14.207
177,2020-07-27 16:15:14.381
178,2020-07-27 16:15:27.444
179,2020-07-27 16:15:28.389
180,2020-07-27 16:15:31.979
181,2020-07-27 16:15:37.109
182,2020-07-27 16:15:40.454
183,2020-07-27 16:15:41.509
184,2020-07-27 16:15:48.240
185,2020-07-27 16:15:49.077
186,2020-07-27 16:15:51.651
187,2020-07-27 16:15:51.862
188,2020-07-27 16:15:54.312
189,2020-07-27 16:15:58.021
190,2020-07-27 16:16:03.238
191,2020-07-27 16:16:09.972
192,2020-07-27 16:16:13.006
193,2020-07-27 16:16:13.124
194,2020-07-27 16:16:23.293
195,2020-07-27 16:16:25.854
196,2020-07-27 16:16:26.517
197,2020-07-27 16:16:27.123
198,2020-07-27 16:16:28.834
199,2020-07-27 16:16:32.057
200,2020-07-27 16:16:36.081
201,2020-07-27 16:16:36.249
202,2020-07-27 16:17:04.380
203,2020-07-27 16:17:09.130
204,2020-07-27 16:17:30.179
205,2020-07-27 16:17:36.032
206,2020-07-27 16:17:45.148
207,2020-07-27 16:17:46.594
208,2020-07-27 16:17:52.963
209,2020-07-27 16:17:56.731
210,2020-07-27 16:18:09.242
211,2020-07-27 16:18:15.075
212,2020-07-27 16:18:19.593
213,2020-07-27 16:18:21.873
214,2020-07-27 16:18:29.150
215,2020-07-27 16:18:34.194
216,2020-07-27 16:18:38.346
217,2020-07-27 16:18:46.941
218,2020-07-27 16:18:48.841
219,2020-07-27 16:19:00.282
220,2020-07-27 16:19:07.127
221,2020-07-27 16:19:09.006
222,2020-07-27 16:19:19.358
223,2020-07-27 16:19:41.193
224,2020-07-27 16:19:46.399
225,2020-07-27 16:19:58.055
226,2020-07-27 16:20:00.799
227,2020-07-27 16:20:02.478
228,2020-07-27 16:20:24.321
229,2020-07-27 16:20:41.090
230,2020-07-27 16:21:02.450
231,2020-07-27 16:21:06.251
232,2020-07-27 16:21:07.009
233,2020-07-27 16:21:12.133
234,2020-07-27 16:21:16.351
235,2020-07-27 16:21:23.551
236,2020-07-27 16:21:33.400
237,2020-07-27 16:21:38.143
238,2020-07-27 16:21:48.165
239,2020-07-27 16:22:04.092
240,2020-07-27 16:22:06.407
241,2020-07-27 16:22:17.228
242,2020-07-27 16:22:20.291
243,2020-07-27 16:22:21.288
244,2020-07-27 16:22:29.309
245,2020-07-27 16:22:47.536
246,2020-07-27 16:22:51.571
247,2020-07-27 16:22:55.381
248,2020-07-27 16:23:04.194
249,2020-07-27 16:23:14.556
250,2020-07-27 16:23:16.949
251,2020-07-27 16:23:23.023
252,2020-07-27 16:23:25.455
253,2020-07-27 16:23:26.481
254,2020-07-27 16:23:27.121
255,2020-07-27 16:23:29.488
256,2020-07-27 16:23:38.425
257,2020-07-27 16:23:38.659
258,2020-07-27 16:23:43.431
259,2020-07-27 16:23:46.169
260,2020-07-27 16:23:49.026
261,2020-07-27 16:23:52.479
262,2020-07-27 16:24:08.203
263,2020-07-27 16:24:20.171
264,2020-07-27 16:24:28.049
265,2020-07-27 16:24:29.568
266,2020-07-27 16:24:35.353
267,2020-07-27 16:24:38.111
268,2020-07-27 16:24:40.389
269,2020-07-27 16:24:41.264
270,2020-07-27 16:24:42.063
271,2020-07-27 16:24:43.180
272,2020-07-27 16:24:51.142
273,2020-07-27 16:24:55.185
274,2020-07-27 16:24:59.701
275,2020-07-27 16:25:04.146
276,2020-07-27 16:25:05.592
277,2020-07-27 16:25:08.906
278,2020-07-27 16:25:35.709
279,2020-07-27 16:25:46.346
280,2020-07-27 16:25:54.326
281,2020-07-27 16:25:58.155
282,2020-07-27 16:26:02.114
283,2020-07-27 16:26:08.772
284,2020-07-27 16:26:09.272
285,2020-07-27 16:26:19.222
286,2020-07-27 16:26:30.039
287,2020-07-27 16:26:30.774
288,2020-07-27 16:26:33.142
289,2020-07-27 16:26:36.868
290,2020-07-27 16:26:45.266
291,2020-07-27 16:27:02.972
292,2020-07-27 16:27:05.955
293,2020-07-27 16:27:06.182
294,2020-07-27 16:27:08.269
295,2020-07-27 16:27:11.718
296,2020-07-27 16:27:17.106
297,2020-07-27 16:27:20.232
298,2020-07-27 16:27:24.126
299,2020-07-27 16:27:29.530
300,2020-07-27 16:27:30.083
301,2020-07-27 16:27:37.168
302,2020-07-27 16:27:41.338
303,2020-07-27 16:27:42.585
304,2020-07-27 16:28:01.751
305,2020-07-27 16:28:11.286
306,2020-07-27 16:28:29.173
307,2020-07-27 16:28:30.004
308,2020-07-27 16:28:42.317
309,2020-07-27 16:28:43.826
310,2020-07-27 16:28:46.720
311,2020-07-27 16:28:51.980
312,2020-07-27 16:28:52.026
313,2020-07-27 16:28:58.359
314,2020-07-27 16:29:01.210
315,2020-07-27 16:29:15.251
316,2020-07-27 16:29:21.237
317,2020-07-27 16:29:23.123
318,2020-07-27 16:29:23.894
319,2020-07-27 16:29:25.231
320,2020-07-27 16:29:31.161
321,2020-07-27 16:29:36.452
322,2020-07-27 16:29:40.521
323,2020-07-27 16:29:43.451
324,2020-07-27 16:29:51.531
325,2020-07-27 16:29:53.609
326,2020-07-27 16:30:06.118
327,2020-07-27 16:30:11.021
328,2020-07-27 16:30:20.229
329,2020-07-27 16:30:29.252
330,2020-07-27 16:30:32.200
331,2020-07-27 16:30:33.215
332,2020-07-27 16:30:34.051
333,2020-07-27 16:30:45.142
334,2020-07-27 16:30:47.751
335,2020-07-27 16:30:50.199
336,2020-07-27 16:30:56.084
337,2020-07-27 16:30:58.242
338,2020-07-27 16:31:12.502
339,2020-07-27 16:31:13.101
340,2020-07-27 16:31:15.522
341,2020-07-27 16:31:22.062
342,2020-07-27 16:31:24.169
343,2020-07-27 16:31:30.853
344,2020-07-27 16:31:32.866
345,2020-07-27 16:31:33.150
346,2020-07-27 16:31:34.197
347,2020-07-27 16:31:37.157
348,2020-07-27 16:31:51.400
349,2020-07-27 16:31:59.024
350,2020-07-27 16:31:59.290
351,2020-07-27 16:32:08.382
352,2020-07-27 16:32:17.910
353,2020-07-27 16:32:22.918
354,2020-07-27 16:32:25.281
355,2020-07-27 16:32:30.000
356,2020-07-27 16:32:33.877
357,2020-07-27 16:32:34.846
358,2020-07-27 16:32:35.990
359,2020-07-27 16:32:43.064
360,2020-07-27 16:32:48.166
361,2020-07-27 16:32:51.970
362,2020-07-27 16:32:57.168
363,2020-07-27 16:33:00.618
364,2020-07-27 16:33:04.028
365,2020-07-27 16:33:04.329
366,2020-07-27 16:33:10.647
367,2020-07-27 16:33:23.493
368,2020-07-27 16:33:24.584
369,2020-07-27 16:33:25.515
370,2020-07-27 16:33:26.460
371,2020-07-27 16:33:28.260
372,2020-07-27 16:33:38.581
373,2020-07-27 16:33:41.209
374,2020-07-27 16:33:43.766
375,2020-07-27 16:33:44.049
376,2020-07-27 16:33:52.082
377,2020-07-27 16:33:56.172
378,2020-07-27 16:33:58.003
379,2020-07-27 16:34:07.446
380,2020-07-27 16:34:09.876
381,2020-07-27 16:34:15.386
382,2020-07-27 16:34:18.201
383,2020-07-27 16:34:23.111
384,2020-07-27 16:34:24.891
385,2020-07-27 16:34:32.022
386,2020-07-27 16:34:40.492
387,2020-07-27 16:34:43.096
388,2020-07-27 16:34:50.610
389,2020-07-27 16:35:01.749
390,2020-07-27 16:35:05.147
391,2020-07-27 16:35:09.414
392,2020-07-27 16:35:10.475
393,2020-07-27 16:35:11.937
394,2020-07-27 16:35:14.820
395,2020-07-27 16:35:15.170
396,2020-07-27 16:35:27.307
397,2020-07-27 16:35:42.364
398,2020-07-27 16:35:43.006
399,2020-07-27 16:35:47.050
400,2020-07-27 16:36:02.032
401,2020-07-27 16:36:14.239
402,2020-07-27 16:36:15.245
403,2020-07-27 16:36:18.396
404,2020-07-27 16:36:18.668
405,2020-07-27 16:36:21.000
406,2020-07-27 16:36:21.016
407,2020-07-27 16:36:21.153
408,2020-07-27 16:36:35.047
409,2020-07-27 16:36:38.737
410,2020-07-27 16:36:43.589
411,2020-07-27 16:36:46.445
412,2020-07-27 16:36:47.365
413,2020-07-27 16:36:49.443
414,2020-07-27 16:36:55.064
415,2020-07-27 16:36:57.488
416,2020-07-27 16:37:00.168
417,2020-07-27 16:37:06.094
418,2020-07-27 16:37:08.791
419,2020-07-27 16:37:11.309
420,2020-07-27 16:37:13.076
421,2020-07-27 16:37:19.851
422,2020-07-27 16:37:21.760
423,2020-07-27 16:37:22.763
424,2020-07-27 16:37:26.424
425,2020-07-27 16:37:31.080
426,2020-07-27 16:37:31.302
427,2020-07-27 16:37:43.548
428,2020-07-27 16:37:57.014
429,2020-07-27 16:38:08.002
430,2020-07-27 16:38:11.561
431,2020-07-27 16:38:20.383
432,2020-07-27 16:38:24.824
433,2020-07-27 16:38:30.728
434,2020-07-27 16:38:36.579
435,2020-07-27 16:38:37.193
436,2020-07-27 16:38:38.136
437,2020-07-27 16:38:41.391
438,2020-07-27 16:38:42.186
439,2020-07-27 16:38:43.851
440,2020-07-27 16:38:45.794
441,2020-07-27 16:38:46.406
442,2020-07-27 16:39:04.300
443,2020-07-27 16:39:12.179
444,2020-07-27 16:39:15.308
445,2020-07-27 16:39:22.008
446,2020-07-27 16:39:31.432
447,2020-07-27 16:39:38.520
448,2020-07-27 16:39:39.169
449,2020-07-27 16:39:42.336
450,2020-07-27 16:39:44.201
451,2020-07-27 16:39:50.694
452,2020-07-27 16:39:52.103
453,2020-07-27 16:39:57.078
454,2020-07-27 16:40:03.801
455,2020-07-27 16:40:04.836
456,2020-07-27 16:40:05.022
457,2020-07-27 16:40:05.129
458,2020-07-27 16:40:10.703
459,2020-07-27 16:40:18.542
460,2020-07-27 16:40:21.021
461,2020-07-27 16:40:22.752
462,2020-07-27 16:40:23.209
463,2020-07-27 16:40:29.378
464,2020-07-27 16:40:34.066
465,2020-07-27 16:40:38.555
466,2020-07-27 16:40:39.042
467,2020-07-27 16:40:41.538
468,2020-07-27 16:40:50.383
469,2020-07-27 16:40:56.697
470,2020-07-27 16:40:58.176
471,2020-07-27 16:41:02.621
472,2020-07-27 16:41:09.461
473,2020-07-27 16:41:17.051
474,2020-07-27 16:41:20.109
475,2020-07-27 16:41:27.368
476,2020-07-27 16:41:36.124
477,2020-07-27 16:41:42.575
478,2020-07-27 16:41:43.330
479,2020-07-27 16:41:44.504
