index,time
0,2020-07-27 00:00:10.085
1,2020-07-27 00:00:10.879
2,2020-07-27 00:00:16.662
3,2020-07-27 00:00:22.186
4,2020-07-27 00:00:27.692
5,2020-07-27 00:00:34.226
6,2020-07-27 00:00:50.368
7,2020-07-27 00:01:03.186
8,2020-07-27 00:01:06.023
9,2020-07-27 00:01:07.096
10,2020-07-27 00:01:09.037
11,2020-07-27 00:01:12.487
12,2020-07-27 00:01:22.237
13,2020-07-27 00:01:24.592
14,2020-07-27 00:01:32.251
15,2020-07-27 00:01:34.030
16,2020-07-27 00:01:39.770
17,2020-07-27 00:01:41.095
18,2020-07-27 00:01:47.494
19,2020-07-27 00:01:50.344
20,2020-07-27 00:02:13.285
21,2020-07-27 00:02:18.385
22,2020-07-27 00:02:19.005
23,2020-07-27 00:02:21.120
24,2020-07-27 00:02:22.138
25,2020-07-27 00:02:26.285
26,2020-07-27 00:02:28.308
27,2020-07-27 00:02:32.250
28,2020-07-27 00:02:35.032
29,2020-07-27 00:02:36.033
30,2020-07-27 00:02:37.126
31,2020-07-27 00:02:48.571
32,2020-07-27 00:02:54.018
33,2020-07-27 00:02:58.006
34,2020-07-27 00:03:00.213
35,2020-07-27 00:03:04.559
36,2020-07-27 00:03:09.467
37,2020-07-27 00:03:13.007
38,2020-07-27 00:03:21.218
39,2020-07-27 00:03:22.216
40,2020-07-27 00:03:29.111
41,2020-07-27 00:03:30.885
42,2020-07-27 00:03:53.573
43,2020-07-27 00:03:54.706
44,2020-07-27 00:04:10.165
45,2020-07-27 00:04:16.686
46,2020-07-27 00:04:18.462
47,2020-07-27 00:04:19.492
48,2020-07-27 00:04:21.328
49,2020-07-27 00:04:25.975
50,2020-07-27 00:04:27.423
51,2020-07-27 00:04:31.312
52,2020-07-27 00:04:32.358
53,2020-07-27 00:04:33.017
54,2020-07-27 00:04:39.094
55,2020-07-27 00:04:39.405
56,2020-07-27 00:04:40.586
57,2020-07-27 00:05:00.345
58,2020-07-27 00:05:03.237
59,2020-07-27 00:05:04.013
60,2020-07-27 00:05:05.054
61,2020-07-27 00:05:15.363
62,2020-07-27 00:05:20.084
63,2020-07-27 00:05:30.797
64,2020-07-27 00:05:39.577
65,2020-07-27 00:05:47.289
66,2020-07-27 00:05:50.045
67,2020-07-27 00:05:52.479
68,2020-07-27 00:05:54.186
69,2020-07-27 00:05:59.079
70,2020-07-27 00:06:01.037
71,2020-07-27 00:06:06.458
72,2020-07-27 00:06:11.358
73,2020-07-27 00:06:24.261
74,2020-07-27 00:06:28.411
75,2020-07-27 00:06:48.026
76,2020-07-27 00:06:50.376
77,2020-07-27 00:06:52.327
78,2020-07-27 00:06:54.073
79,2020-07-27 00:07:09.385
80,2020-07-27 00:08:28.177
